Reference year,Region of usual residence (SA4),Sex,Industry of main job,Weighted median of Weekly earnings in main job (for means and medians) (%)
Aug-21,Tasmania,Male,Information Media and Telecommunications,0
Aug-21,Tasmania,Male,Financial and Insurance Services,2153.7
Aug-21,Tasmania,Male,"Rental, Hiring and Real Estate Services",0
Aug-21,Tasmania,Male,"Professional, Scientific and Technical Services",1403.5
Aug-21,Tasmania,Male,Administrative and Support Services,0
Aug-21,Tasmania,Male,Public Administration and Safety,1661.4
Aug-21,Tasmania,Male,Education and Training,1401.8
Aug-21,Tasmania,Male,Health Care and Social Assistance,899.8
Aug-21,Tasmania,Male,Arts and Recreation Services,917.7
Aug-21,Tasmania,Male,Other Services,1145.3
Aug-21,Tasmania,Female,"Agriculture, Forestry and Fishing",0
Aug-21,Tasmania,Female,Mining,0
Aug-21,Tasmania,Female,Manufacturing,999.8
Aug-21,Tasmania,Female,"Electricity, Gas, Water and Waste Services",0
Aug-21,Tasmania,Female,Construction,973.1
Aug-21,Tasmania,Female,Wholesale Trade,0
Aug-21,Tasmania,Female,Retail Trade,584.8
Aug-21,Tasmania,Female,Accommodation and Food Services,492
Aug-21,Tasmania,Female,"Transport, Postal and Warehousing",0
Aug-21,Tasmania,Female,Information Media and Telecommunications,0
Aug-21,Tasmania,Female,Financial and Insurance Services,1218.2
Aug-21,Tasmania,Female,"Rental, Hiring and Real Estate Services",0
Aug-21,Tasmania,Female,"Professional, Scientific and Technical Services",1108.8
Aug-21,Tasmania,Female,Administrative and Support Services,0
Aug-21,Tasmania,Female,Public Administration and Safety,1250
Aug-21,Tasmania,Female,Education and Training,1031.5
Aug-21,Tasmania,Female,Health Care and Social Assistance,1000
Aug-21,Tasmania,Female,Arts and Recreation Services,0
Aug-21,Tasmania,Female,Other Services,503.7
Aug-21,Northern Territory,Male,"Agriculture, Forestry and Fishing",0
Aug-21,Northern Territory,Male,Mining,2036.3
Aug-21,Northern Territory,Male,Manufacturing,1381.2
Aug-21,Northern Territory,Male,"Electricity, Gas, Water and Waste Services",1823.9
Aug-21,Northern Territory,Male,Construction,1522.4
Aug-21,Northern Territory,Male,Wholesale Trade,0
Aug-21,Northern Territory,Male,Retail Trade,930.2
Aug-21,Northern Territory,Male,Accommodation and Food Services,793.7
Aug-21,Northern Territory,Male,"Transport, Postal and Warehousing",1862.3
Aug-21,Northern Territory,Male,Information Media and Telecommunications,0
Aug-21,Northern Territory,Male,Financial and Insurance Services,0
Aug-21,Northern Territory,Male,"Rental, Hiring and Real Estate Services",0
Aug-21,Northern Territory,Male,"Professional, Scientific and Technical Services",1917
Aug-21,Northern Territory,Male,Administrative and Support Services,0
Aug-21,Northern Territory,Male,Public Administration and Safety,1750.5
Aug-21,Northern Territory,Male,Education and Training,1924.6
Aug-21,Northern Territory,Male,Health Care and Social Assistance,1783.6
Aug-21,Northern Territory,Male,Arts and Recreation Services,0
Aug-21,Northern Territory,Male,Other Services,1592.3
Aug-21,Northern Territory,Female,"Agriculture, Forestry and Fishing",0
Aug-21,Northern Territory,Female,Mining,0
Aug-21,Northern Territory,Female,Manufacturing,0
Aug-21,Northern Territory,Female,"Electricity, Gas, Water and Waste Services",0
Aug-21,Northern Territory,Female,Construction,0
Aug-21,Northern Territory,Female,Wholesale Trade,0
Aug-21,Northern Territory,Female,Retail Trade,700.3
Aug-21,Northern Territory,Female,Accommodation and Food Services,741.3
Aug-21,Northern Territory,Female,"Transport, Postal and Warehousing",0
Aug-21,Northern Territory,Female,Information Media and Telecommunications,0
Aug-21,Northern Territory,Female,Financial and Insurance Services,0
Aug-21,Northern Territory,Female,"Rental, Hiring and Real Estate Services",0
Aug-21,Northern Territory,Female,"Professional, Scientific and Technical Services",1224.7
Aug-21,Northern Territory,Female,Administrative and Support Services,0
Aug-21,Northern Territory,Female,Public Administration and Safety,1716.1
Aug-21,Northern Territory,Female,Education and Training,1198.1
Aug-21,Northern Territory,Female,Health Care and Social Assistance,1556.6
Aug-21,Northern Territory,Female,Arts and Recreation Services,0
Aug-21,Northern Territory,Female,Other Services,754.7
Aug-21,Australian Capital Territory,Male,"Agriculture, Forestry and Fishing",0
Aug-21,Australian Capital Territory,Male,Mining,0
Aug-21,Australian Capital Territory,Male,Manufacturing,0
Aug-21,Australian Capital Territory,Male,"Electricity, Gas, Water and Waste Services",0
Aug-21,Australian Capital Territory,Male,Construction,1580
Aug-21,Australian Capital Territory,Male,Wholesale Trade,0
Aug-21,Australian Capital Territory,Male,Retail Trade,847.3
Aug-21,Australian Capital Territory,Male,Accommodation and Food Services,646.6
Aug-21,Australian Capital Territory,Male,"Transport, Postal and Warehousing",0
Aug-21,Australian Capital Territory,Male,Information Media and Telecommunications,0
Aug-21,Australian Capital Territory,Male,Financial and Insurance Services,0
Aug-21,Australian Capital Territory,Male,"Rental, Hiring and Real Estate Services",0
Aug-21,Australian Capital Territory,Male,"Professional, Scientific and Technical Services",2297.3
Aug-21,Australian Capital Territory,Male,Administrative and Support Services,0
Aug-21,Australian Capital Territory,Male,Public Administration and Safety,2093.8
Aug-21,Australian Capital Territory,Male,Education and Training,1838.7
Aug-21,Australian Capital Territory,Male,Health Care and Social Assistance,1344.9
Aug-21,Australian Capital Territory,Male,Arts and Recreation Services,0
Aug-21,Australian Capital Territory,Male,Other Services,0
Aug-21,Australian Capital Territory,Female,"Agriculture, Forestry and Fishing",0
Aug-21,Australian Capital Territory,Female,Mining,0
Aug-21,Australian Capital Territory,Female,Manufacturing,0
Aug-21,Australian Capital Territory,Female,"Electricity, Gas, Water and Waste Services",0
Aug-21,Australian Capital Territory,Female,Construction,0
Aug-21,Australian Capital Territory,Female,Wholesale Trade,0
Aug-21,Australian Capital Territory,Female,Retail Trade,700
Aug-21,Australian Capital Territory,Female,Accommodation and Food Services,649.4
Aug-21,Australian Capital Territory,Female,"Transport, Postal and Warehousing",0
Aug-21,Australian Capital Territory,Female,Information Media and Telecommunications,0
Aug-21,Australian Capital Territory,Female,Financial and Insurance Services,0
Aug-21,Australian Capital Territory,Female,"Rental, Hiring and Real Estate Services",0
Aug-21,Australian Capital Territory,Female,"Professional, Scientific and Technical Services",1459
Aug-21,Australian Capital Territory,Female,Administrative and Support Services,0
Aug-21,Australian Capital Territory,Female,Public Administration and Safety,1799.4
Aug-21,Australian Capital Territory,Female,Education and Training,1401.3
Aug-21,Australian Capital Territory,Female,Health Care and Social Assistance,1192
Aug-21,Australian Capital Territory,Female,Arts and Recreation Services,0
Aug-21,Australian Capital Territory,Female,Other Services,0
Aug-22,New South Wales,Male,"Agriculture, Forestry and Fishing",1020.8
Aug-22,New South Wales,Male,Mining,2058.2
Aug-22,New South Wales,Male,Manufacturing,1397.1
Aug-22,New South Wales,Male,"Electricity, Gas, Water and Waste Services",1773.6
Aug-22,New South Wales,Male,Construction,1400.6
Aug-22,New South Wales,Male,Wholesale Trade,1584
Aug-22,New South Wales,Male,Retail Trade,1000
Aug-22,New South Wales,Male,Accommodation and Food Services,735.8
Aug-22,New South Wales,Male,"Transport, Postal and Warehousing",1368
Aug-22,New South Wales,Male,Information Media and Telecommunications,1977.3
Aug-22,New South Wales,Male,Financial and Insurance Services,2126.9
Aug-22,New South Wales,Male,"Rental, Hiring and Real Estate Services",1277.5
Aug-22,New South Wales,Male,"Professional, Scientific and Technical Services",2084.8
Aug-22,New South Wales,Male,Administrative and Support Services,1342.8
Aug-22,New South Wales,Male,Public Administration and Safety,1666.2
Aug-22,New South Wales,Male,Education and Training,1550
Aug-22,New South Wales,Male,Health Care and Social Assistance,1342
Aug-22,New South Wales,Male,Arts and Recreation Services,1200
Aug-22,New South Wales,Male,Other Services,1352.7
Aug-22,New South Wales,Female,"Agriculture, Forestry and Fishing",0
Aug-22,New South Wales,Female,Mining,0
Aug-22,New South Wales,Female,Manufacturing,967.1
Aug-22,New South Wales,Female,"Electricity, Gas, Water and Waste Services",0
Aug-22,New South Wales,Female,Construction,1079.9
Aug-22,New South Wales,Female,Wholesale Trade,1041.4
Aug-22,New South Wales,Female,Retail Trade,750
Aug-22,New South Wales,Female,Accommodation and Food Services,553.2
Aug-22,New South Wales,Female,"Transport, Postal and Warehousing",1069.3
Aug-22,New South Wales,Female,Information Media and Telecommunications,1731.7
Aug-22,New South Wales,Female,Financial and Insurance Services,1743.8
Aug-22,New South Wales,Female,"Rental, Hiring and Real Estate Services",1129.1
Aug-22,New South Wales,Female,"Professional, Scientific and Technical Services",1439
Aug-22,New South Wales,Female,Administrative and Support Services,1097.5
Aug-22,New South Wales,Female,Public Administration and Safety,1457.4
Aug-22,New South Wales,Female,Education and Training,1250
Aug-22,New South Wales,Female,Health Care and Social Assistance,1083.7
Aug-22,New South Wales,Female,Arts and Recreation Services,913.1
Aug-22,New South Wales,Female,Other Services,808.4
Aug-22,Victoria,Male,"Agriculture, Forestry and Fishing",1342.6
Aug-22,Victoria,Male,Mining,0
Aug-22,Victoria,Male,Manufacturing,1350
Aug-22,Victoria,Male,"Electricity, Gas, Water and Waste Services",2287.9
Aug-22,Victoria,Male,Construction,1400
Aug-22,Victoria,Male,Wholesale Trade,1478
Aug-22,Victoria,Male,Retail Trade,950
Aug-22,Victoria,Male,Accommodation and Food Services,768.7
Aug-22,Victoria,Male,"Transport, Postal and Warehousing",1436
Aug-22,Victoria,Male,Information Media and Telecommunications,1414.1
Aug-22,Victoria,Male,Financial and Insurance Services,1977.2
Aug-22,Victoria,Male,"Rental, Hiring and Real Estate Services",1331
Aug-22,Victoria,Male,"Professional, Scientific and Technical Services",2000
Aug-22,Victoria,Male,Administrative and Support Services,1246.6
Aug-22,Victoria,Male,Public Administration and Safety,1800
Aug-22,Victoria,Male,Education and Training,1449.5
Aug-22,Victoria,Male,Health Care and Social Assistance,1463.9
Aug-22,Victoria,Male,Arts and Recreation Services,1093.2
Aug-22,Victoria,Male,Other Services,1266.9
Aug-22,Victoria,Female,"Agriculture, Forestry and Fishing",0
Aug-22,Victoria,Female,Mining,0
Aug-22,Victoria,Female,Manufacturing,1100
Aug-22,Victoria,Female,"Electricity, Gas, Water and Waste Services",0
Aug-22,Victoria,Female,Construction,1254.2
Aug-22,Victoria,Female,Wholesale Trade,1150
Aug-22,Victoria,Female,Retail Trade,761.9
Aug-22,Victoria,Female,Accommodation and Food Services,462.6
Aug-22,Victoria,Female,"Transport, Postal and Warehousing",1304.1
Aug-22,Victoria,Female,Information Media and Telecommunications,1355.6
Aug-22,Victoria,Female,Financial and Insurance Services,1536.5
Aug-22,Victoria,Female,"Rental, Hiring and Real Estate Services",1083.2
Aug-22,Victoria,Female,"Professional, Scientific and Technical Services",1494
Aug-22,Victoria,Female,Administrative and Support Services,987.9
Aug-22,Victoria,Female,Public Administration and Safety,1501.9
Aug-22,Victoria,Female,Education and Training,1300
Aug-22,Victoria,Female,Health Care and Social Assistance,1056
Aug-22,Victoria,Female,Arts and Recreation Services,1140.8
Aug-22,Victoria,Female,Other Services,905
Aug-22,Queensland,Male,"Agriculture, Forestry and Fishing",1209.5
Aug-22,Queensland,Male,Mining,2637
Aug-22,Queensland,Male,Manufacturing,1416.1
Aug-22,Queensland,Male,"Electricity, Gas, Water and Waste Services",2483
Aug-22,Queensland,Male,Construction,1500
Aug-22,Queensland,Male,Wholesale Trade,1295.6
Aug-22,Queensland,Male,Retail Trade,950
Aug-22,Queensland,Male,Accommodation and Food Services,651.3
Aug-22,Queensland,Male,"Transport, Postal and Warehousing",1498
Aug-22,Queensland,Male,Information Media and Telecommunications,0
Aug-22,Queensland,Male,Financial and Insurance Services,1975.5
Aug-22,Queensland,Male,"Rental, Hiring and Real Estate Services",1167.2
Aug-22,Queensland,Male,"Professional, Scientific and Technical Services",2000
Aug-22,Queensland,Male,Administrative and Support Services,1168.5
Aug-22,Queensland,Male,Public Administration and Safety,1650
Aug-22,Queensland,Male,Education and Training,1509.3
Aug-22,Queensland,Male,Health Care and Social Assistance,1500
Aug-22,Queensland,Male,Arts and Recreation Services,1100
Aug-22,Queensland,Male,Other Services,1504.4
Aug-22,Queensland,Female,"Agriculture, Forestry and Fishing",0
Aug-22,Queensland,Female,Mining,0
Aug-22,Queensland,Female,Manufacturing,1287.4
Aug-22,Queensland,Female,"Electricity, Gas, Water and Waste Services",0
Aug-22,Queensland,Female,Construction,1345.7
Aug-22,Queensland,Female,Wholesale Trade,1121.8
Aug-22,Queensland,Female,Retail Trade,703.6
Aug-22,Queensland,Female,Accommodation and Food Services,630.4
Aug-22,Queensland,Female,"Transport, Postal and Warehousing",1401.2
Aug-22,Queensland,Female,Information Media and Telecommunications,0
Aug-22,Queensland,Female,Financial and Insurance Services,1401.5
Aug-22,Queensland,Female,"Rental, Hiring and Real Estate Services",1411.1
Aug-22,Queensland,Female,"Professional, Scientific and Technical Services",1281.8
Aug-22,Queensland,Female,Administrative and Support Services,1056.3
Aug-22,Queensland,Female,Public Administration and Safety,1628.8
Aug-22,Queensland,Female,Education and Training,1150
Aug-22,Queensland,Female,Health Care and Social Assistance,1150
Aug-22,Queensland,Female,Arts and Recreation Services,1159.6
Aug-22,Queensland,Female,Other Services,849.5
Aug-22,South Australia,Male,"Agriculture, Forestry and Fishing",1242.5
Aug-22,South Australia,Male,Mining,3642
Aug-22,South Australia,Male,Manufacturing,1330.7
Aug-22,South Australia,Male,"Electricity, Gas, Water and Waste Services",1701.2
Aug-22,South Australia,Male,Construction,1300
Aug-22,South Australia,Male,Wholesale Trade,1405.3
Aug-22,South Australia,Male,Retail Trade,918.5
Aug-22,South Australia,Male,Accommodation and Food Services,584.7
Aug-22,South Australia,Male,"Transport, Postal and Warehousing",1194.8
Aug-22,South Australia,Male,Information Media and Telecommunications,0
Aug-22,South Australia,Male,Financial and Insurance Services,1685.4
Aug-22,South Australia,Male,"Rental, Hiring and Real Estate Services",0
Aug-22,South Australia,Male,"Professional, Scientific and Technical Services",1893
Aug-22,South Australia,Male,Administrative and Support Services,1208.8
Aug-22,South Australia,Male,Public Administration and Safety,1388.5
Aug-22,South Australia,Male,Education and Training,1328.3
Aug-22,South Australia,Male,Health Care and Social Assistance,1116.5
Aug-22,South Australia,Male,Arts and Recreation Services,0
Aug-22,South Australia,Male,Other Services,1159.2
Aug-22,South Australia,Female,"Agriculture, Forestry and Fishing",805.9
Aug-22,South Australia,Female,Mining,0
Aug-22,South Australia,Female,Manufacturing,1000
Aug-22,South Australia,Female,"Electricity, Gas, Water and Waste Services",0
Aug-22,South Australia,Female,Construction,1066
Aug-22,South Australia,Female,Wholesale Trade,1296
Aug-22,South Australia,Female,Retail Trade,669.8
Aug-22,South Australia,Female,Accommodation and Food Services,363
Aug-22,South Australia,Female,"Transport, Postal and Warehousing",0
Aug-22,South Australia,Female,Information Media and Telecommunications,0
Aug-22,South Australia,Female,Financial and Insurance Services,1134
Aug-22,South Australia,Female,"Rental, Hiring and Real Estate Services",0
Aug-22,South Australia,Female,"Professional, Scientific and Technical Services",1150
Aug-22,South Australia,Female,Administrative and Support Services,788.5
Aug-22,South Australia,Female,Public Administration and Safety,1399.9
Aug-22,South Australia,Female,Education and Training,1138.5
Aug-22,South Australia,Female,Health Care and Social Assistance,1000
Aug-22,South Australia,Female,Arts and Recreation Services,0
Aug-22,South Australia,Female,Other Services,992.3
Aug-22,Western Australia,Male,"Agriculture, Forestry and Fishing",0
Aug-22,Western Australia,Male,Mining,2635.9
Aug-22,Western Australia,Male,Manufacturing,1688.8
Aug-22,Western Australia,Male,"Electricity, Gas, Water and Waste Services",1989.7
Aug-22,Western Australia,Male,Construction,1473
Aug-22,Western Australia,Male,Wholesale Trade,1316.1
Aug-22,Western Australia,Male,Retail Trade,1000
Aug-22,Western Australia,Male,Accommodation and Food Services,700
Aug-22,Western Australia,Male,"Transport, Postal and Warehousing",1707.2
Aug-22,Western Australia,Male,Information Media and Telecommunications,0
Aug-22,Western Australia,Male,Financial and Insurance Services,1958.1
Aug-22,Western Australia,Male,"Rental, Hiring and Real Estate Services",1362.9
Aug-22,Western Australia,Male,"Professional, Scientific and Technical Services",2123.1
Aug-22,Western Australia,Male,Administrative and Support Services,1247.8
Aug-22,Western Australia,Male,Public Administration and Safety,1765.7
Aug-22,Western Australia,Male,Education and Training,1759.5
Aug-22,Western Australia,Male,Health Care and Social Assistance,1300
Aug-22,Western Australia,Male,Arts and Recreation Services,896.4
Aug-22,Western Australia,Male,Other Services,1421.6
Aug-22,Western Australia,Female,"Agriculture, Forestry and Fishing",0
Aug-22,Western Australia,Female,Mining,1713.2
Aug-22,Western Australia,Female,Manufacturing,1083.1
Aug-22,Western Australia,Female,"Electricity, Gas, Water and Waste Services",0
Aug-22,Western Australia,Female,Construction,1258.6
Aug-22,Western Australia,Female,Wholesale Trade,1248.3
Aug-22,Western Australia,Female,Retail Trade,757.5
Aug-22,Western Australia,Female,Accommodation and Food Services,479.1
Aug-22,Western Australia,Female,"Transport, Postal and Warehousing",1065
Aug-22,Western Australia,Female,Information Media and Telecommunications,0
Aug-22,Western Australia,Female,Financial and Insurance Services,1160.3
Aug-22,Western Australia,Female,"Rental, Hiring and Real Estate Services",1029.7
Aug-22,Western Australia,Female,"Professional, Scientific and Technical Services",1324
Aug-22,Western Australia,Female,Administrative and Support Services,1014.4
Aug-22,Western Australia,Female,Public Administration and Safety,1439.1
Aug-22,Western Australia,Female,Education and Training,1094
Aug-22,Western Australia,Female,Health Care and Social Assistance,1100
Aug-22,Western Australia,Female,Arts and Recreation Services,1210.6
Aug-22,Western Australia,Female,Other Services,743.4
Aug-22,Tasmania,Male,"Agriculture, Forestry and Fishing",1107.8
Aug-22,Tasmania,Male,Mining,1751.9
Aug-22,Tasmania,Male,Manufacturing,1224.3
Aug-22,Tasmania,Male,"Electricity, Gas, Water and Waste Services",0
Aug-22,Tasmania,Male,Construction,1278
Aug-22,Tasmania,Male,Wholesale Trade,1077.2
Aug-22,Tasmania,Male,Retail Trade,900
Aug-22,Tasmania,Male,Accommodation and Food Services,764.6
Aug-22,Tasmania,Male,"Transport, Postal and Warehousing",1486.3
Aug-22,Tasmania,Male,Information Media and Telecommunications,0
Aug-22,Tasmania,Male,Financial and Insurance Services,0
Aug-22,Tasmania,Male,"Rental, Hiring and Real Estate Services",0
Aug-22,Tasmania,Male,"Professional, Scientific and Technical Services",1563
Aug-22,Tasmania,Male,Administrative and Support Services,0
Aug-22,Tasmania,Male,Public Administration and Safety,1500
Aug-22,Tasmania,Male,Education and Training,1304.9
Aug-22,Tasmania,Male,Health Care and Social Assistance,1250
Aug-22,Tasmania,Male,Arts and Recreation Services,0
Aug-22,Tasmania,Male,Other Services,899
Aug-22,Tasmania,Female,"Agriculture, Forestry and Fishing",0
Aug-22,Tasmania,Female,Mining,0
Aug-22,Tasmania,Female,Manufacturing,724.1
Aug-22,Tasmania,Female,"Electricity, Gas, Water and Waste Services",0
Aug-22,Tasmania,Female,Construction,0
Aug-22,Tasmania,Female,Wholesale Trade,0
Aug-22,Tasmania,Female,Retail Trade,602.9
Aug-22,Tasmania,Female,Accommodation and Food Services,566.7
Aug-22,Tasmania,Female,"Transport, Postal and Warehousing",0
Aug-22,Tasmania,Female,Information Media and Telecommunications,0
Aug-22,Tasmania,Female,Financial and Insurance Services,1245.7
Aug-22,Tasmania,Female,"Rental, Hiring and Real Estate Services",0
Aug-22,Tasmania,Female,"Professional, Scientific and Technical Services",1009.3
Aug-22,Tasmania,Female,Administrative and Support Services,0
Aug-22,Tasmania,Female,Public Administration and Safety,1373.7
Aug-22,Tasmania,Female,Education and Training,1199.1
Aug-22,Tasmania,Female,Health Care and Social Assistance,1000
Aug-22,Tasmania,Female,Arts and Recreation Services,0
Aug-22,Tasmania,Female,Other Services,662.9
Aug-22,Northern Territory,Male,"Agriculture, Forestry and Fishing",0
Aug-22,Northern Territory,Male,Mining,3054.6
Aug-22,Northern Territory,Male,Manufacturing,1328.9
Aug-22,Northern Territory,Male,"Electricity, Gas, Water and Waste Services",0
Aug-22,Northern Territory,Male,Construction,1794.5
Aug-22,Northern Territory,Male,Wholesale Trade,0
Aug-22,Northern Territory,Male,Retail Trade,907.8
Aug-22,Northern Territory,Male,Accommodation and Food Services,1150.9
Aug-22,Northern Territory,Male,"Transport, Postal and Warehousing",1579.6
Aug-22,Northern Territory,Male,Information Media and Telecommunications,0
Aug-22,Northern Territory,Male,Financial and Insurance Services,0
Aug-22,Northern Territory,Male,"Rental, Hiring and Real Estate Services",0
Aug-22,Northern Territory,Male,"Professional, Scientific and Technical Services",1499.1
Aug-22,Northern Territory,Male,Administrative and Support Services,0
Aug-22,Northern Territory,Male,Public Administration and Safety,1969
Aug-22,Northern Territory,Male,Education and Training,1760.4
Aug-22,Northern Territory,Male,Health Care and Social Assistance,1516.5
Aug-22,Northern Territory,Male,Arts and Recreation Services,0
Aug-22,Northern Territory,Male,Other Services,1500
Aug-22,Northern Territory,Female,"Agriculture, Forestry and Fishing",0
Aug-22,Northern Territory,Female,Mining,0
Aug-22,Northern Territory,Female,Manufacturing,0
Aug-22,Northern Territory,Female,"Electricity, Gas, Water and Waste Services",0
Aug-22,Northern Territory,Female,Construction,0
Aug-22,Northern Territory,Female,Wholesale Trade,0
Aug-22,Northern Territory,Female,Retail Trade,821.1
Aug-22,Northern Territory,Female,Accommodation and Food Services,839.6
Aug-22,Northern Territory,Female,"Transport, Postal and Warehousing",0
Aug-22,Northern Territory,Female,Information Media and Telecommunications,0
Aug-22,Northern Territory,Female,Financial and Insurance Services,0
Aug-22,Northern Territory,Female,"Rental, Hiring and Real Estate Services",0
Aug-22,Northern Territory,Female,"Professional, Scientific and Technical Services",1526.6
Aug-22,Northern Territory,Female,Administrative and Support Services,1072.5
Aug-22,Northern Territory,Female,Public Administration and Safety,1871.9
Aug-22,Northern Territory,Female,Education and Training,1250
Aug-22,Northern Territory,Female,Health Care and Social Assistance,1240.3
Aug-22,Northern Territory,Female,Arts and Recreation Services,0
Aug-22,Northern Territory,Female,Other Services,0
Aug-22,Australian Capital Territory,Male,"Agriculture, Forestry and Fishing",0
Aug-22,Australian Capital Territory,Male,Mining,0
Aug-22,Australian Capital Territory,Male,Manufacturing,0
Aug-22,Australian Capital Territory,Male,"Electricity, Gas, Water and Waste Services",0
Aug-22,Australian Capital Territory,Male,Construction,1511.2
Aug-22,Australian Capital Territory,Male,Wholesale Trade,0
Aug-22,Australian Capital Territory,Male,Retail Trade,805.4
Aug-22,Australian Capital Territory,Male,Accommodation and Food Services,328.8
Aug-22,Australian Capital Territory,Male,"Transport, Postal and Warehousing",0
Aug-22,Australian Capital Territory,Male,Information Media and Telecommunications,0
Aug-22,Australian Capital Territory,Male,Financial and Insurance Services,0
Aug-22,Australian Capital Territory,Male,"Rental, Hiring and Real Estate Services",0
Aug-22,Australian Capital Territory,Male,"Professional, Scientific and Technical Services",2500
Aug-22,Australian Capital Territory,Male,Administrative and Support Services,0
Aug-22,Australian Capital Territory,Male,Public Administration and Safety,1943.2
Aug-22,Australian Capital Territory,Male,Education and Training,1939.2
Aug-22,Australian Capital Territory,Male,Health Care and Social Assistance,1993.4
Aug-22,Australian Capital Territory,Male,Arts and Recreation Services,0
Aug-22,Australian Capital Territory,Male,Other Services,1209.3
Aug-22,Australian Capital Territory,Female,"Agriculture, Forestry and Fishing",0
Aug-22,Australian Capital Territory,Female,Mining,0
Aug-22,Australian Capital Territory,Female,Manufacturing,0
Aug-22,Australian Capital Territory,Female,"Electricity, Gas, Water and Waste Services",0
Aug-22,Australian Capital Territory,Female,Construction,0
Aug-22,Australian Capital Territory,Female,Wholesale Trade,0
Aug-22,Australian Capital Territory,Female,Retail Trade,792.4
Aug-22,Australian Capital Territory,Female,Accommodation and Food Services,833.2
Aug-22,Australian Capital Territory,Female,"Transport, Postal and Warehousing",0
Aug-22,Australian Capital Territory,Female,Information Media and Telecommunications,0
Aug-22,Australian Capital Territory,Female,Financial and Insurance Services,0
Aug-22,Australian Capital Territory,Female,"Rental, Hiring and Real Estate Services",0
Aug-22,Australian Capital Territory,Female,"Professional, Scientific and Technical Services",1435.8
Aug-22,Australian Capital Territory,Female,Administrative and Support Services,0
Aug-22,Australian Capital Territory,Female,Public Administration and Safety,1733.6
Aug-22,Australian Capital Territory,Female,Education and Training,1250
Aug-22,Australian Capital Territory,Female,Health Care and Social Assistance,1098
Aug-22,Australian Capital Territory,Female,Arts and Recreation Services,0
Aug-22,Australian Capital Territory,Female,Other Services,0
Aug-23,New South Wales,Male,"Agriculture, Forestry and Fishing",1105.9
Aug-23,New South Wales,Male,Mining,2841.3
Aug-23,New South Wales,Male,Manufacturing,1534
Aug-23,New South Wales,Male,"Electricity, Gas, Water and Waste Services",2000
Aug-23,New South Wales,Male,Construction,1500
Aug-23,New South Wales,Male,Wholesale Trade,1462
Aug-23,New South Wales,Male,Retail Trade,1062
Aug-23,New South Wales,Male,Accommodation and Food Services,804.6
Aug-23,New South Wales,Male,"Transport, Postal and Warehousing",1500
Aug-23,New South Wales,Male,Information Media and Telecommunications,2301
Aug-23,New South Wales,Male,Financial and Insurance Services,2464.8
Aug-23,New South Wales,Male,"Rental, Hiring and Real Estate Services",1285.4
Aug-23,New South Wales,Male,"Professional, Scientific and Technical Services",2102.4
Aug-23,New South Wales,Male,Administrative and Support Services,1493.2
Aug-23,New South Wales,Male,Public Administration and Safety,1712.9
Aug-23,New South Wales,Male,Education and Training,1700
Aug-23,New South Wales,Male,Health Care and Social Assistance,1484.5
Aug-23,New South Wales,Male,Arts and Recreation Services,953.2
Aug-23,New South Wales,Male,Other Services,1239.2
Aug-23,New South Wales,Female,"Agriculture, Forestry and Fishing",0
Aug-23,New South Wales,Female,Mining,0
Aug-23,New South Wales,Female,Manufacturing,1316.3
Aug-23,New South Wales,Female,"Electricity, Gas, Water and Waste Services",0
Aug-23,New South Wales,Female,Construction,1249.9
Aug-23,New South Wales,Female,Wholesale Trade,1123.8
Aug-23,New South Wales,Female,Retail Trade,850
Aug-23,New South Wales,Female,Accommodation and Food Services,638.4
Aug-23,New South Wales,Female,"Transport, Postal and Warehousing",1342
Aug-23,New South Wales,Female,Information Media and Telecommunications,1517.1
Aug-23,New South Wales,Female,Financial and Insurance Services,1631.3
Aug-23,New South Wales,Female,"Rental, Hiring and Real Estate Services",1276.2
Aug-23,New South Wales,Female,"Professional, Scientific and Technical Services",1532.8
Aug-23,New South Wales,Female,Administrative and Support Services,1051.6
Aug-23,New South Wales,Female,Public Administration and Safety,1600
Aug-23,New South Wales,Female,Education and Training,1338
Aug-23,New South Wales,Female,Health Care and Social Assistance,1200
Aug-23,New South Wales,Female,Arts and Recreation Services,913.6
Aug-23,New South Wales,Female,Other Services,801.1
Aug-23,Victoria,Male,"Agriculture, Forestry and Fishing",1128.2
Aug-23,Victoria,Male,Mining,0
Aug-23,Victoria,Male,Manufacturing,1476.4
Aug-23,Victoria,Male,"Electricity, Gas, Water and Waste Services",2116
Aug-23,Victoria,Male,Construction,1567.5
Aug-23,Victoria,Male,Wholesale Trade,1493.2
Aug-23,Victoria,Male,Retail Trade,1000
Aug-23,Victoria,Male,Accommodation and Food Services,720
Aug-23,Victoria,Male,"Transport, Postal and Warehousing",1439.9
Aug-23,Victoria,Male,Information Media and Telecommunications,1714.2
Aug-23,Victoria,Male,Financial and Insurance Services,2000
Aug-23,Victoria,Male,"Rental, Hiring and Real Estate Services",1416.7
Aug-23,Victoria,Male,"Professional, Scientific and Technical Services",1981.3
Aug-23,Victoria,Male,Administrative and Support Services,1000
Aug-23,Victoria,Male,Public Administration and Safety,1841.7
Aug-23,Victoria,Male,Education and Training,1622.5
Aug-23,Victoria,Male,Health Care and Social Assistance,1560.7
Aug-23,Victoria,Male,Arts and Recreation Services,1257.8
Aug-23,Victoria,Male,Other Services,1300
Aug-23,Victoria,Female,"Agriculture, Forestry and Fishing",961.4
Aug-23,Victoria,Female,Mining,0
